rank,concept_code,concept_name,change_pct,hot_value,hot_tag
1,886078,商业航天,1.0354,35960.0,连续127天上榜
2,885756,芯片概念,1.312,21126.0,连续22天上榜
3,886042,存储芯片,2.1204,20673.0,连续151天上榜
4,885710,锂电池概念,0.2129,17285.5,连续28天上榜
5,886033,共封装光学(CPO),0.7315,13618.0,连续198天上榜
6,886050,算力租赁,-0.2134,9374.5,连续62天上榜
7,885699,ST板块,0.1522,7506.0,连续36天上榜
8,885959,PCB概念,0.433,7096.0,连续21天上榜
9,886044,液冷服务器,0.3797,5261.5,连续19天上榜
10,885517,机器人概念,0.6876,4781.0,连续29天上榜
11,886015,创新药,0.092,4537.0,连续28天上榜
12,885580,足球概念,2.1238,4163.5,5天3次上榜
13,885728,人工智能,0.5768,4058.5,10天9次上榜
14,886032,固态电池,-0.3389,3986.0,连续39天上榜
15,886069,人形机器人,0.963,3941.0,连续362天上榜
16,885574,卫星导航,1.5254,3894.5,首次上榜
17,885893,国家大基金持股,3.5512,3650.5,5天3次上榜
18,886009,先进封装,1.9952,3461.0,10天8次上榜
19,885573,猪肉,1.0076,3420.0,连续25天上榜
20,885957,东数西算(算力),0.0245,3180.0,连续53天上榜
