rank,stock_code,short_name,change_pct,hot_value,pop_tag,concept_tag
1,002580,圣阳股份,10.0,111783.0,持续上榜,钠离子电池;动力电池回收
2,603629,利通电子,10.0052,49873.0,4天3板,算力租赁;东数西算(算力)
3,600703,三安光电,9.9753,48974.0,首板涨停,MicroLED概念;MiniLED
4,600666,奥瑞德,3.5036,43881.0,2天1板,算力租赁;数据确权
5,601778,晶科科技,3.7538,43353.0,4天2板,虚拟电厂;光伏建筑一体化
6,002297,博云新材,10.0124,40861.0,5天5板,成飞概念;航空发动机
7,002418,康盛股份,9.9467,40316.0,首板涨停,液冷服务器;石墨烯
8,002361,神剑股份,-2.648,40085.0,持续上榜,卫星导航;商业航天
9,002217,合力泰,9.8361,34289.0,首板涨停,电子纸;OLED
10,002565,顺灏股份,6.5915,33289.0,,卫星导航;商业航天
11,600152,维科技术,9.9684,31140.0,5天3板,固态电池;钠离子电池
12,600410,华胜天成,3.3941,31124.0,,云计算;华为鲲鹏
13,600487,亨通光电,4.7234,30560.0,,光纤概念;F5G概念
14,603778,国晟科技,-8.1439,28928.0,,硅能源;TOPCON电池
15,600330,天通股份,10.0253,28545.0,首板涨停,PCB概念;第三代半导体
16,300308,中际旭创,5.1123,28132.0,,共封装光学(CPO);F5G概念
17,002213,大为股份,-1.591,28127.0,4天2板,存储芯片;PCB概念
18,000889,中嘉博创,5.8,27968.0,8天5板,抖音概念(字节概念);腾讯概念
19,002328,新朋股份,-2.9851,27865.0,,液冷服务器;特斯拉概念
20,002281,光迅科技,9.9991,27782.0,首板涨停,F5G概念;共封装光学(CPO)
21,002428,云南锗业,10.0071,27429.0,首板涨停,光纤概念;小金属概念
22,600105,永鼎股份,4.6364,27338.0,,共封装光学(CPO);光纤概念
23,002990,盛视科技,9.9957,26884.0,4天4板,语音技术;安防
24,002342,巨力索具,2.9714,25519.0,,商业航天;军工
25,001330,博纳影业,10.0267,24793.0,首板涨停,短剧游戏;Sora概念(文生视频)
26,601138,工业富联,2.7815,24615.0,,富士康概念;同花顺果指数
