序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,交易日期
1.0,631.0,顺发恒能,10.051546096801758,4.27,491622256.0,9821000362.95,9821000341.599998,5.006242275238037,71539255.0,92500.0,92500.0,0.0,1/1,1.0,电力,20260331
2.0,600066.0,宇通客车,10.0,35.86,1199265616.0,79391860536.78,79391860285.76,1.510706663131714,72291070.0,93002.0,93253.0,1.0,1/1,1.0,商用车,20260331
3.0,600894.0,广日股份,9.97706413269043,9.59,144711983.0,8085755227.55,8167595549.12,1.7912741899490356,48324441.0,93002.0,93420.0,3.0,1/1,1.0,专用设备,20260331
4.0,2578.0,闽发铝业,10.093896865844728,4.69,372904768.0,4038852411.09,4402175525.440001,9.243043899536133,58267950.0,93003.0,93003.0,0.0,2/2,2.0,工业金属,20260331
5.0,600488.0,津药药业,10.084033966064451,5.24,466914880.0,5721486203.2,5721486245.12,8.222428321838379,54451187.0,93042.0,93703.0,2.0,3/3,3.0,化学制药,20260331
6.0,603039.0,泛微网络,10.0,43.45,274447408.0,11139100744.75,11139100744.75,2.4783668518066406,59583462.0,93051.0,93112.0,1.0,1/1,1.0,软件开发,20260331
7.0,2361.0,神剑股份,10.0,16.5,3149143536.0,13350529236.0,15692077104.0,23.703197479248047,217816500.0,93057.0,142139.0,4.0,4/4,4.0,塑料,20260331
8.0,2454.0,松芝股份,10.0,9.24,131310485.0,5792982102.6,5808093984.0,2.2934348583221436,65169258.0,93057.0,93057.0,0.0,1/1,1.0,汽车零部,20260331
9.0,8.0,神州高铁,10.1010103225708,3.27,524434240.0,8882291033.04,8882555013.6,5.955018520355225,212429415.0,93118.0,93118.0,0.0,2/2,2.0,轨交设备,20260331
10.0,2634.0,棒杰股份,9.963099479675291,8.94,312215584.0,3991839969.72,4106611457.28,7.904372215270996,16779700.0,93136.0,130212.0,1.0,2/2,2.0,服装家纺,20260331
11.0,2542.0,中化岩土,10.067113876342772,3.28,120705072.0,5768769811.5199995,5924062894.08,2.11278772354126,71945934.0,93212.0,93212.0,0.0,1/1,1.0,专业工程,20260331
12.0,300834.0,星辉环材,19.984107971191406,30.2,341444592.0,5811288725.8,5850113060.599999,5.921833038330078,143530754.0,93233.0,93233.0,0.0,1/1,1.0,塑料,20260331
13.0,2565.0,顺灏股份,10.025873184204102,17.01,1967978368.0,18029646113.22,18030411665.280003,11.064379692077637,270144876.0,93409.0,93409.0,0.0,1/1,1.0,包装印刷,20260331
14.0,993.0,闽东电力,9.97977066040039,16.31,608092064.0,7172282899.32,7469188247.36,8.653043746948242,170002750.0,93412.0,93412.0,0.0,1/1,1.0,电力,20260331
15.0,2821.0,凯莱英,10.0,110.77,1872865232.0,35118948150.659996,39974121091.52,5.363607883453369,42748358.0,93412.0,131639.0,3.0,1/1,1.0,医疗服务,20260331
16.0,927.0,中国铁物,9.86842155456543,3.34,605001024.0,20208170940.54,20208181237.76,3.0674612522125244,107150616.0,93421.0,93421.0,0.0,5/3,1.0,轨交设备,20260331
17.0,601908.0,京运通,10.10988998413086,5.01,964440256.0,12097160333.61,12097160348.64,8.151227951049805,104920422.0,93521.0,93521.0,0.0,4/2,1.0,电力,20260331
18.0,592.0,平潭发展,9.9827880859375,12.78,5569520896.0,24474881498.219997,24688159850.879997,23.249568939208984,187515764.0,93648.0,132657.0,6.0,5/3,2.0,林业Ⅱ,20260331
19.0,2800.0,天顺股份,9.985597610473633,22.91,238065680.0,3387080060.06,3488117764.97,7.174747467041016,33661663.0,93818.0,112318.0,1.0,1/1,1.0,物流,20260331
20.0,2218.0,拓日新能,10.0,6.93,2119477376.0,9649319865.57,9792232369.92,22.45372200012207,81078893.0,93936.0,102921.0,4.0,1/1,1.0,电力,20260331
21.0,863.0,三湘印象,10.019268035888672,5.71,212506297.0,6644244036.78,6741794533.28,3.2577943801879883,54279260.0,94000.0,95806.0,1.0,1/1,1.0,房地产开,20260331
22.0,2342.0,巨力索具,10.007638931274414,14.4,2490062272.0,13747536000.0,13824000000.0,18.451574325561523,181532995.0,94003.0,95130.0,1.0,1/1,1.0,通用设备,20260331
23.0,605299.0,舒华体育,10.005157470703123,21.33,863127488.0,8728801735.59,8728801842.24,10.17412281036377,72481302.0,94047.0,94647.0,2.0,12/6,1.0,文娱用品,20260331
24.0,2995.0,天地在线,9.991079330444336,24.66,319203104.0,2772208349.28,4376027476.8,11.848085403442385,77560632.0,94115.0,94115.0,0.0,3/2,1.0,广告营销,20260331
25.0,720.0,新能泰山,10.080645561218262,5.46,982547648.0,6860662377.66,6860662361.28,15.417572021484377,62507805.0,94703.0,94703.0,0.0,6/5,1.0,电网设备,20260331
26.0,2560.0,通达股份,9.989806175231934,10.79,595734848.0,4887179461.58,5672719235.04,12.49411392211914,121562157.0,95421.0,95421.0,0.0,1/1,1.0,电网设备,20260331
27.0,301079.0,邵阳液压,20.0,44.76,778569392.0,3111947907.24,4875806793.84,26.236629486083984,81989667.0,95427.0,95427.0,0.0,1/1,1.0,工程机械,20260331
28.0,600158.0,中体产业,10.0,11.99,1497795520.0,11504561673.33,11504561733.28,13.282675743103027,60885339.0,95839.0,112318.0,3.0,1/1,1.0,体育Ⅱ,20260331
29.0,1239.0,永达股份,9.986129760742188,15.86,114433744.0,1808040000.0,3806400000.0,6.52692985534668,62799573.0,100118.0,100118.0,0.0,1/1,1.0,工程机械,20260331
30.0,603826.0,坤彩科技,10.019880294799805,27.67,696678496.0,18129384000.0,18129384000.0,3.91848349571228,32755746.0,100932.0,134044.0,8.0,1/1,1.0,非金属材,20260331
31.0,301048.0,金鹰重工,19.98166847229004,13.09,612448144.0,6981334206.0,6981334310.72,9.212003707885742,31972325.0,100942.0,100942.0,0.0,1/1,1.0,轨交设备,20260331
32.0,600502.0,安徽建工,9.9609375,5.63,948716160.0,9664086070.94,9664086059.68,9.955951690673828,82586807.0,100956.0,100956.0,0.0,2/2,2.0,基础建设,20260331
33.0,600528.0,中铁工业,9.952038764953612,9.17,1327340768.0,20371628061.96,20371628025.28,6.704940319061279,111057870.0,101209.0,101424.0,1.0,1/1,1.0,基础建设,20260331
34.0,600495.0,晋西车轴,10.044642448425291,4.93,347120240.0,5956381067.98,5956381038.4,5.946409702301025,62534939.0,101552.0,104029.0,2.0,1/1,1.0,轨交设备,20260331
35.0,603657.0,春光科技,10.0,27.94,142375599.0,3777209997.0,3777209997.0,3.8806509971618657,27423110.0,104452.0,105310.0,1.0,1/1,1.0,家电零部,20260331
36.0,2788.0,鹭燕医药,10.0,16.17,1632465184.0,6173605762.170001,6282315621.120001,27.317588806152344,57096270.0,104824.0,144006.0,1.0,1/1,1.0,医药商业,20260331
37.0,605162.0,新中港,10.047392845153809,11.61,363563968.0,4650768653.219999,4650768722.88,8.143401145935059,96870600.0,104933.0,104933.0,0.0,1/1,1.0,电力,20260331
38.0,300992.0,泰福泵业,20.0,41.88,588926352.0,3245476612.0800004,3992804272.08,20.174928665161133,64095246.0,111412.0,111412.0,0.0,1/1,1.0,通用设备,20260331
39.0,37.0,深南电A,9.966216087341309,13.02,1019335312.0,4412584113.0,7847968947.84,24.37428092956543,84228984.0,130945.0,130945.0,0.0,4/2,1.0,电力,20260331
40.0,301008.0,宏昌科技,20.005674362182617,42.29,1158767696.0,4899010365.86,5538435165.86,24.920867919921875,123224009.0,131221.0,131221.0,0.0,2/2,2.0,家电零部,20260331
41.0,600250.0,南京商旅,10.023492813110352,14.05,823592416.0,4394719226.2,4394719282.400001,19.52470016479492,37925165.0,131623.0,132814.0,4.0,1/1,1.0,贸易Ⅱ,20260331
42.0,3033.0,征和工业,10.0,60.61,297459568.0,4893872141.62,4954867500.0,6.425326824188232,107669361.0,131803.0,131803.0,0.0,1/1,1.0,摩托车及,20260331
43.0,2263.0,大东南,10.0,4.51,1969953744.0,8471336401.0,8471404032.96,24.7474422454834,100264466.0,132045.0,132045.0,0.0,4/3,1.0,塑料,20260331
44.0,913.0,钱江摩托,10.033002853393556,16.67,549072944.0,8670158685.0,8778313711.68,6.512219429016113,56337932.0,132624.0,140039.0,4.0,1/1,1.0,摩托车及,20260331
45.0,30.0,富奥股份,10.099010467529297,5.56,276270288.0,9290239834.2,9562148314.88,3.059433698654175,45705535.0,132700.0,132700.0,0.0,1/1,1.0,汽车零部,20260331
46.0,678.0,襄阳轴承,10.008703231811523,12.64,306939840.0,5809493114.08,5809493050.88,5.4558491706848145,69257985.0,133015.0,133015.0,0.0,1/1,1.0,汽车零部,20260331
47.0,301255.0,通力科技,20.0,29.76,243220762.0,1133260800.0,4533043200.0,22.72686767578125,45756000.0,133306.0,133306.0,0.0,1/1,1.0,通用设备,20260331
48.0,600184.0,光电股份,9.97610569000244,18.41,655146048.0,10728012685.88,10728012759.52,6.502164840698242,95099763.0,134625.0,134625.0,0.0,1/1,1.0,地面兵装,20260331
49.0,70.0,特发信息,10.01236057281494,17.8,2662710048.0,15818483565.6,16026136870.400002,17.728818893432617,145646399.0,135048.0,135048.0,0.0,1/1,1.0,通信设备,20260331
50.0,603660.0,苏州科达,10.05649757385254,9.74,336991120.0,5566338859.04,5608156107.52,6.262819766998291,131568114.0,140300.0,140300.0,0.0,1/1,1.0,计算机设,20260331
51.0,605116.0,奥锐特,9.992515563964844,29.39,384524832.0,11937725247.26,11937725188.48,3.401858329772949,95253754.0,142530.0,142530.0,0.0,1/1,1.0,化学制药,20260331
52.0,2580.0,圣阳股份,9.99375343322754,17.61,1916010528.0,7965686268.0,7992632949.12,25.404220581054688,372030215.0,143542.0,143542.0,0.0,1/1,1.0,电池,20260331
53.0,2082.0,万邦德,10.018214225769045,30.2,2008597952.0,16708238244.4,18473009491.2,12.739083290100098,30816080.0,145042.0,145145.0,1.0,6/4,1.0,化学制药,20260331
